Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
P2B,exponential,quadratic,Global slopes and global intercepts,106.1,71.4,0.77,1.7,248.41,421.11,736.81,1.0981
P2B,quadratic,quadratic,Global slopes and global intercepts,106.1,71.8,0.77,1.71,251.74,424.43,740.14,1.0996
P2B,exponential,linear,Global slopes and global intercepts,108.1,77.2,0.82,1.89,304.23,471.17,778.19,1.1251
P2B,quadratic,linear,Global slopes and global intercepts,108.0,77.5,0.82,1.89,307.09,474.03,781.05,1.1265
P2B,exponential,exponential,Global slopes and global intercepts,109.1,77.8,0.82,1.92,371.02,543.72,859.42,1.1572
P2B,quadratic,exponential,Global slopes and global intercepts,109.1,78.1,0.82,1.93,374.9,547.59,863.3,1.1591
P2B,linear,quadratic,Global slopes and global intercepts,110.7,63.4,0.6,1.68,884.05,1050.99,1358.01,1.4419
P2B,linear,linear,Global slopes and global intercepts,113.0,67.6,0.63,1.84,899.64,1060.82,1359.09,1.4521
P2B,linear,exponential,Global slopes and global intercepts,114.3,68.4,0.63,1.88,932.97,1099.91,1406.93,1.4724
