Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
G4A,quadratic,exponential,Global slopes and global intercepts,127.2,97.7,0.88,2.42,-1149.21,-948.69,-589.23,0.6443
G4A,quadratic,linear,Global slopes and global intercepts,126.5,96.6,0.86,2.4,-1111.81,-917.18,-566.44,0.6535
G4A,linear,linear,Global slopes and global intercepts,121.6,94.2,0.91,2.2,-460.09,-277.26,55.86,0.8332
G4A,exponential,linear,Global slopes and global intercepts,118.4,84.8,0.85,1.91,559.35,753.98,1104.72,1.2161
G4A,exponential,quadratic,Global slopes and global intercepts,118.5,84.8,0.85,1.91,560.63,761.15,1120.61,1.2163
G4A,linear,exponential,Global slopes and global intercepts,121.3,70.6,0.67,1.64,906.55,1101.17,1451.92,1.3836
G4A,exponential,exponential,Global slopes and global intercepts,118.5,68.7,0.68,1.56,1152.12,1352.64,1712.1,1.5153
G4A,quadratic,quadratic,Global slopes and global intercepts,115.2,75.8,0.7,1.5,1881.14,2081.66,2441.12,1.9867
G4A,linear,quadratic,Global slopes and global intercepts,132.1,46.0,0.1,1.52,1898.52,2093.14,2443.89,2.0003
