Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
G8A,exponential,exponential,Global slopes and global intercepts,142.4,84.3,0.71,2.2,-746.26,-566.22,-238.69,0.7291
G8A,quadratic,exponential,Global slopes and global intercepts,142.0,85.3,0.73,2.2,-693.04,-513.0,-185.47,0.7451
G8A,linear,exponential,Global slopes and global intercepts,159.5,92.2,0.63,2.71,-357.6,-183.37,135.44,0.8543
G8A,linear,quadratic,Global slopes and global intercepts,160.4,92.5,0.62,2.74,-344.79,-170.55,148.25,0.8588
G8A,exponential,quadratic,Global slopes and global intercepts,199.2,45.1,0.18,1.84,-288.72,-108.68,218.85,0.8782
G8A,quadratic,quadratic,Global slopes and global intercepts,188.3,44.9,0.21,1.7,-259.56,-79.52,248.01,0.8887
G8A,exponential,linear,Global slopes and global intercepts,157.8,58.3,0.18,2.13,-199.1,-24.87,293.94,0.9111
G8A,quadratic,linear,Global slopes and global intercepts,156.0,59.6,0.2,2.11,-156.81,17.43,336.23,0.9269
G8A,linear,linear,Global slopes and global intercepts,162.0,160.1,1.12,5.49,517.01,685.44,995.46,1.2195
