Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
P3A,quadratic,linear,Global slopes and global intercepts,125.9,116.6,1.15,2.63,-1993.31,-1811.75,-1481.18,0.4567
P3A,linear,linear,Global slopes and global intercepts,125.4,112.1,1.1,2.54,-1901.17,-1725.47,-1403.72,0.4735
P3A,exponential,linear,Global slopes and global intercepts,125.4,110.9,1.09,2.51,-1847.43,-1665.87,-1335.3,0.4833
P3A,quadratic,quadratic,Global slopes and global intercepts,128.3,92.8,0.87,2.19,-1000.14,-812.72,-473.39,0.6706
P3A,exponential,quadratic,Global slopes and global intercepts,128.4,93.0,0.87,2.19,-991.07,-803.66,-464.33,0.673
P3A,linear,quadratic,Global slopes and global intercepts,128.9,94.3,0.88,2.23,-953.74,-772.18,-441.61,0.6831
P3A,exponential,exponential,Global slopes and global intercepts,124.5,83.9,0.82,1.9,581.61,769.03,1108.35,1.2372
P3A,linear,exponential,Global slopes and global intercepts,125.7,85.3,0.82,1.94,692.51,868.21,1189.96,1.2925
P3A,quadratic,exponential,Global slopes and global intercepts,149.6,69.4,0.1,2.68,1218.57,1405.99,1745.32,1.5832
