Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
G13A,quadratic,quadratic,Global slopes and global intercepts,106.4,66.8,0.57,2.03,-2306.93,-2148.86,-1856.86,0.3274
G13A,linear,quadratic,Global slopes and global intercepts,101.3,67.1,0.64,1.89,-2234.6,-2082.17,-1798.77,0.3391
G13A,exponential,quadratic,Global slopes and global intercepts,100.3,65.9,0.64,1.83,-2193.48,-2035.41,-1743.41,0.3457
G13A,quadratic,exponential,Global slopes and global intercepts,110.1,63.6,0.52,2.01,-2140.04,-1981.97,-1689.97,0.3546
G13A,linear,linear,Global slopes and global intercepts,100.1,60.5,0.58,1.68,-2063.96,-1917.18,-1642.46,0.3681
G13A,exponential,linear,Global slopes and global intercepts,99.7,60.5,0.58,1.67,-2058.32,-1911.54,-1636.82,0.3691
G13A,quadratic,linear,Global slopes and global intercepts,101.6,59.9,0.55,1.7,-2070.56,-1918.13,-1634.73,0.3668
G13A,linear,exponential,Global slopes and global intercepts,102.1,63.6,0.61,1.8,-2008.27,-1855.84,-1572.44,0.3778
G13A,exponential,exponential,Global slopes and global intercepts,101.6,62.8,0.6,1.77,-1983.67,-1825.6,-1533.6,0.3821
