Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
G4B,linear,linear,Global slopes and global intercepts,149.5,76.4,0.6,1.51,-2755.05,-2617.33,-2358.23,0.2178
G4B,quadratic,linear,Global slopes and global intercepts,149.2,74.9,0.59,1.48,-2750.49,-2607.26,-2339.69,0.2183
G4B,exponential,linear,Global slopes and global intercepts,149.0,75.5,0.59,1.48,-2749.61,-2606.39,-2338.81,0.2184
G4B,linear,quadratic,Global slopes and global intercepts,172.1,48.7,0.1,1.54,-2738.09,-2594.86,-2327.29,0.2197
G4B,linear,exponential,Global slopes and global intercepts,172.5,50.2,0.14,1.5,-2712.39,-2569.16,-2301.58,0.2229
G4B,quadratic,exponential,Global slopes and global intercepts,172.8,50.9,0.15,1.52,-2710.8,-2562.07,-2286.09,0.2229
G4B,exponential,quadratic,Global slopes and global intercepts,163.9,30.0,0.1,0.73,-1653.88,-1505.14,-1229.17,0.398
G4B,exponential,exponential,Global slopes and global intercepts,135.1,34.2,0.1,0.71,-1551.12,-1402.38,-1126.41,0.421
G4B,quadratic,quadratic,Global slopes and global intercepts,202.2,43.4,0.2,0.74,-798.06,-649.32,-373.35,0.6362
