Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
P5B,quadratic,linear,Global slopes and global intercepts,113.6,82.7,0.84,2.11,-2117.52,-1943.53,-1625.22,0.4148
P5B,quadratic,quadratic,Global slopes and global intercepts,112.2,79.2,0.82,2.0,-2125.01,-1945.22,-1618.2,0.4133
P5B,linear,linear,Global slopes and global intercepts,154.3,54.6,0.28,2.24,-1865.79,-1697.6,-1388.06,0.46
P5B,linear,quadratic,Global slopes and global intercepts,117.7,80.8,0.74,2.19,-1731.44,-1557.45,-1239.14,0.4859
P5B,exponential,linear,Global slopes and global intercepts,153.3,39.7,0.19,1.77,-1561.56,-1387.57,-1069.26,0.5209
P5B,exponential,quadratic,Global slopes and global intercepts,112.1,49.3,0.41,1.53,-1295.87,-1116.08,-789.06,0.5806
P5B,quadratic,exponential,Global slopes and global intercepts,69.6,38.8,0.75,0.64,-857.71,-677.92,-350.9,0.6948
P5B,linear,exponential,Global slopes and global intercepts,71.0,29.9,0.44,0.65,-688.94,-514.95,-196.64,0.7449
P5B,exponential,exponential,Global slopes and global intercepts,65.6,26.6,0.43,0.61,-680.81,-501.02,-174.0,0.747
