Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
P6A,quadratic,linear,Global slopes and global intercepts,130.3,212.0,2.43,3.17,-3407.46,-3240.52,-2933.5,0.2298
P6A,quadratic,constant,Global slopes and global intercepts,156.2,111.2,0.52,2.61,-3010.66,-2849.47,-2551.21,0.2725
P6A,exponential,constant,Global slopes and global intercepts,148.3,131.5,0.97,2.57,-2748.71,-2587.53,-2289.26,0.3048
P6A,linear,linear,Global slopes and global intercepts,123.7,94.5,0.98,1.56,-2117.09,-1955.9,-1657.64,0.3994
P6A,linear,constant,Global slopes and global intercepts,144.0,212.2,1.74,3.85,-251.44,-96.01,193.43,0.8877
P6A,exponential,linear,Global slopes and global intercepts,200.8,22.5,0.16,0.5,451.46,618.4,925.42,1.1982
