Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
A4B,quadratic,linear,Global slopes and global intercepts,115.0,92.6,0.94,1.93,-1786.02,-1604.46,-1273.89,0.4949
A4B,quadratic,exponential,Global slopes and global intercepts,115.2,93.0,0.94,1.94,-1779.98,-1592.56,-1253.24,0.4959
A4B,exponential,linear,Global slopes and global intercepts,115.2,73.5,0.69,1.64,-1618.33,-1436.78,-1106.21,0.5281
A4B,exponential,exponential,Global slopes and global intercepts,115.6,73.9,0.69,1.65,-1613.45,-1426.04,-1086.71,0.5289
A4B,exponential,quadratic,Global slopes and global intercepts,159.1,26.3,0.26,0.7,-211.84,-24.42,314.9,0.91
A4B,linear,exponential,Global slopes and global intercepts,124.7,38.1,0.27,1.11,544.28,725.83,1056.4,1.2199
A4B,linear,quadratic,Global slopes and global intercepts,176.4,78.3,0.6,2.74,566.32,747.88,1078.45,1.2304
A4B,quadratic,quadratic,Global slopes and global intercepts,82.8,10.9,0.1,0.95,973.31,1160.73,1500.06,1.4398
A4B,linear,linear,Global slopes and global intercepts,188.8,10.0,0.14,0.87,2623.67,2799.37,3121.12,2.7297
