Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
P5A,quadratic,linear,Global slopes and global intercepts,173.5,230.3,1.59,5.68,-2167.8,-2012.56,-1726.25,0.313
P5A,quadratic,exponential,Global slopes and global intercepts,173.5,230.1,1.59,5.67,-2165.39,-2004.6,-1709.97,0.3132
P5A,linear,linear,Global slopes and global intercepts,169.8,189.2,1.35,4.54,-1885.34,-1735.64,-1457.74,0.3636
P5A,linear,exponential,Global slopes and global intercepts,169.7,189.3,1.35,4.55,-1883.3,-1728.06,-1441.76,0.3638
P5A,linear,quadratic,Global slopes and global intercepts,173.8,129.3,0.82,3.29,-1825.6,-1681.45,-1412.01,0.3755
P5A,exponential,quadratic,Global slopes and global intercepts,171.5,122.0,0.79,3.06,-1688.21,-1527.42,-1232.8,0.4031
P5A,exponential,linear,Global slopes and global intercepts,175.3,119.9,0.78,3.01,-1614.02,-1458.78,-1172.48,0.4195
P5A,quadratic,quadratic,Global slopes and global intercepts,194.0,43.6,0.35,0.5,737.43,898.21,1192.84,1.4549
P5A,exponential,exponential,Global slopes and global intercepts,224.9,38.7,0.26,0.5,1212.68,1373.46,1668.09,1.8709
