Parameter,Leave_one_out_mean,Leave_one_out_std,N fits
Tm (°C),125.86907911655928,0.17311519007349405,21
ΔHm (kcal / mol),116.5889986972056,0.9448936397855275,21
ΔCp (kcal / mol / °C),1.1444341130585447,0.01013540487074704,21
m-value (kcal / mol / M),2.6308733277747987,0.0197408039239208,21
