Parameter,Leave_one_out_mean,Leave_one_out_std,N fits
Tm (°C),173.47740319085997,2.145085776297831,18
ΔHm (kcal / mol),230.84979086365723,5.028824953164507,18
ΔCp (kcal / mol / °C),1.5978484719018573,0.04520247490075303,18
m-value (kcal / mol / M),5.687296836177219,0.17029347342177936,18
