Parameter,Leave_one_out_mean,Leave_one_out_std,N fits
Tm (°C),141.88025897632468,2.0346474890975106,20
ΔHm (kcal / mol),84.91105251012823,3.653268621104925,20
ΔCp (kcal / mol / °C),0.7186619148295023,0.05124615765997892,20
m-value (kcal / mol / M),2.196898831565019,0.061460967087496696,20
