Parameter,Leave_one_out_mean,Leave_one_out_std,N fits
Tm (°C),113.67635289705981,0.9786145754248575,20
ΔHm (kcal / mol),83.24186587004189,4.5110409492877945,20
ΔCp (kcal / mol / K),0.8470041067817273,0.04905129567565486,20
m-value (kcal / mol / M),2.1205713306026817,0.1082164822587643,20
